T12,Expenditure on health,,,,,
834,United Rep. of Tanzania,2019,Domestic general government health expenditure (% of total government expenditure),9.6,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2000,Current health expenditure (% of GDP),12.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2005,Current health expenditure (% of GDP),14.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2010,Current health expenditure (% of GDP),16.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2017,Current health expenditure (% of GDP),16.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2018,Current health expenditure (% of GDP),16.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2019,Current health expenditure (% of GDP),16.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2000,Domestic general government health expenditure (% of total government expenditure),16.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2005,Domestic general government health expenditure (% of total government expenditure),17.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2010,Domestic general government health expenditure (% of total government expenditure),18.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2017,Domestic general government health expenditure (% of total government expenditure),22.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2018,Domestic general government health expenditure (% of total government expenditure),22.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
840,United States of America,2019,Domestic general government health expenditure (% of total government expenditure),22.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2000,Current health expenditure (% of GDP),9.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2005,Current health expenditure (% of GDP),7.8,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2010,Current health expenditure (% of GDP),7.9,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2017,Current health expenditure (% of GDP),8.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2018,Current health expenditure (% of GDP),9.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2019,Current health expenditure (% of GDP),9.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2000,Domestic general government health expenditure (% of total government expenditure),14.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2005,Domestic general government health expenditure (% of total government expenditure),13.3,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2010,Domestic general government health expenditure (% of total government expenditure),17.3,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2017,Domestic general government health expenditure (% of total government expenditure),20.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2018,Domestic general government health expenditure (% of total government expenditure),20.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
858,Uruguay,2019,Domestic general government health expenditure (% of total government expenditure),20.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
860,Uzbekistan,2000,Current health expenditure (% of GDP),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
860,Uzbekistan,2005,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
860,Uzbekistan,2010,Current health expenditure (% of GDP),5.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
860,Uzbekistan,2017,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
860,Uzbekistan,2018,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
860,Uzbekistan,2019,Current health expenditure (% of GDP),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
