T28,Water supply and sanitation services,,,,,
682,Saudi Arabia,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",59.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",18.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",21.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",21.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",24.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
686,Senegal,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",24.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",81.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",66.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",74.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",14.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",25.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",19.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",81.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",66.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",74.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",15.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",22.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",18.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",81.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",66.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",75.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
688,Serbia,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",18.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
694,Sierra Leone,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",11.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
